Persian,Transliteration
جهنم,/jahannam/
جهنده,/jahandih/
مدرک,/madrak/
ژرمن,/žirman/
ژست,/žist/
سست ریش,/sustrīsh/
غریزه,/qarīzih/
مظلمه,/mazlimih/
بیلسان,/baylasān/
مفتضح,/muftazi(a)h/
سلوک,/sulūk/
مابقی,/mābaqī/
مابون,/ma'būn/
تش,/tash/
تشابه,/tashābuh/
دیژیتال,/dīžītāl/
دیژیتالین,/dīžītālīn/
درشت خویی,/durushtkhūy(')ī/
چشیده,/chi(a)shīdih/
ظلمانی,/zulmānī/
درشت خو,/durushtkhū/
ظلمات,"/zul[u,a]māt/"
آهاردن,/'āhārdan/
آهازیده,/'āhāzīdih/
حرق,/harq/
پاپوش,/pāpūsh/
نفث الدم,/nafsuddam/
حرفه,/hirfih/
طراح,/tarrāh/
پاپک,/pāpak/
ماندنی,/māndanī/
دلب,/dulb/
ماندولین,/māndulīn/
چپلک,/chapalak/
ترنگان,/turangān/
دلایل,/dalāy(')il/
یاسین,/yāsīn/
یاشماق,/yāshmāq/
آس,/'ās/
ذاریات,/zārīyāt/
مرافد,/murāfid/
ذاقنه,/zāqinih/
سیف الغراب,/siyfulqurāb/
سیفلیس,/sīflīs/
ساختگی,/sākhtigī/
مقتبس,/muqtabas/
پاافشار,/pā'afshār/
پاانداز,/pā'andāz/
گزمه,/gazmih/
مقنی,/muqannī/
رمد,/ramad/
گزمر,/gazmar/
مقنن,/muqannin/
دوختن,/dūkhtan/
آغوش,/'āqūsh/
تدلی,/tadallī/
قادم,/qādim/
اسانید,/'asānīd/
باتلاق,/bātlāq/
هند,/hand/
اساور,/'asāvir/
قادریه,/qādirīy[y]ih/
هاج,/hāj/
بهی,/bahī/
تدقیق,/tadqīq/
به هم ریخته,/biham[']rīkhtih/
بازیکن,/bāzīkun/
سیاه پوشک,/sīyāhpūshak/
بازیدن,/bāzīdan/
خاله بی بی,/khālibībī/
محنت دیده,/mihnatdīdih/
مقنع,/muqni'/
فرقت,/furqat/
تردست,/tardast/
ولغونه,/vulqūnih/
ولع,/vala'/
گم گشتگی,/gumgashtigī/
ناتو,/nātu/
گم گشته,/gumgashtih/
محنت بار,/mihnatbār/
ناتوان,/nātavān/
دریاکنار,/daryākinār/
دریاکش,/daryāki(a)sh/
قمارباز,/qumārbāz/
اباحه,/'ibāhih/
اباحتی,/'ibāhatī/
,
کونده,/kavandih/
قمارخانه,/qumārkhānih/
پرواسنده,/parvāsandih/
پرواسیدن,/parvāsīdan/
نی لبک,/niylabak/
نیلاب,/nīlāb/
صمت,/sa(u)mt/
چریدن,/cha(i)rīdan/
صم بکم,/summunbukm/
فرغرده,/farqardih/
فرغردن,/farqardan/
مستکشف,/mustakshif/
چرویده,/charvīdih/
راهزنی,/rāhzanī/
ماغ,/māq/
مستکفی,/mustakfī/
راهسازی,/rāhsāzī/
فاطر,/fātir/
جندر,/jandar/
جند,/jund/
اثارت,/'isārat/
سرواده,/sarvādih/
فخم,/fakhm/
سرواد,/sarvād/
اثاثه,/'asāsih/
حلم,/hilm/
ابوالوری,/'abulvarā/
اغتشاش,/'iqtishāsh/
غوک جامه,/qūkjāmih/
غوک چوب,/qūkchūb/
مزوق,/muzavvaq/
اغتسال,/'iqtisāl/
یک رویه,/yikrūyih/
نابختیار,/nābakhtyār/
نابجا,/nābijā/
خنده خریش,/khandikharīsh/
هجند,/hajand/
شمپانزه,/shāmpnāzih/
عیالوار,/'ayālvār/
کفره,/kafarih/
راتبه,/rātibih/
دخول,/dukhūl/
دخیل,/dakhīl/
فرهمند,/farahmand/
دهان دره,/dahāndar[r]ih/
اعتکاف,/'i'tikāf/
سماچه,/samāchih/
متعشق,/muta'ashshiq/
فاجر,/fājir/
فاجع,/fāji'/
سیستم,/sīstim/
ژئوپولیتیک,/ži'upulītīk/
متعسف,/muta'assif/
چراغ الکلی,/chirāq[']alkulī/
سیسبان,/sīsabān/
ژیمناستیک,/žīmnāstīk/
چراغ آخر,/chirāq[']ākhur/
هشیاردل,/hushyārdil/
کلک,/kalak/
چرخان,/charkhān/
متعاون,/muta'āvin/
چرخاب,/charkhāb/
هایم,/hāy(')im/
رواروزن,/ruvāru[w]zan/
های وهو,/hāyuhū/
روارو,/ruvāru[w]/
چمن افروز,/chaman[']afrūz/
چمن آرا,/chaman[']ārā/
اسلاف,/'aslāf/
تعجب آور,/ta'ajjub[']āvar/
فخاری,/fakhkhārī/
فخامت,/fakhāmat/
متعامل,/muti(a)'āmil/
عامی,/'ām[m]ī/
سمو,/samū/
عامیانه,/'āmīyānih/
پی,/piy/
یک شنبه,/yikshambih/
اوتاد,/'u[w]tād/
جماعت,/jamā'at/
یکسون,/yiksūn/
اوت,/'u[w]t/
جماع,/jimā'/
اورده,/'u[w]ridih/
بی غرض,/bīqaraz/
گور,/gūr/
بیغاره,/biyqārih/
گودره,/gu[w]darih/
بوافزار,/bū'afzār/
هنرورز,/hunarvarz/
مصونیت,/masūnīy[y]at/
بواقی,/bavāqī/
سپاروک,/sapārūk/
سزار,/sizār/
پردازنده,/pardāzandih/
سزارین,/sizārīyan/
پردازگر,/pardāzgar/
خوش دامن,/khushdāman/
خوش خیم,/khushkhīm/
آهن دل,/'āhandil/
کهنه کار,/kuhnikār/
کهور,/kahūr/
حسر,/hasar/
اعماق,/'a'māq/
شارلاتان,/shārlātān/
حسدپیشه,/hasadpīshih/
شارمار,/shārmār/
جوزقه,/ju[w]zaqih/
فتنه زا,/fitnizā/
جوزگره,/ju[w]zgirih/
داهی,/dāhī/
داهم,/dāhim/
فراست,/farāsat/
مسوار,/misvār/
مسنن,/musannin/
قسام,/qassām/
قسامه,/qasāmih/
بیوه,/bīvih/
کشف الآیات,/kashful'āyāt/
رتاتیو,/rutātīv/
لف,/laf[f]/
امت,/'ummat/
سکوت,/sukūt/
خف,/khaf/
مغایرت,/muqāyirat/
امتثال,/'imtisāl/
مغایظت,/muqāyizat/
خطیئت,/khatī'at/
سکوبا,/sukūbā/
جادوخیال,/jādūkhīyāl/
چشفر,/chishfar/
بنفسج,/banafsaj/
چشش,/chishish/
جادوجنبل,/jādūjambal/
ملسون,/malsūn/
ملصق,/mulsaq/
تاک,/tāk/
بنصر,/binsir/
نورافشان,/nūr[']afshān/
نوراستنی,/nurāstinī/
تعب,/ta'ab/
تعاهد,/ta'āhud/
نافرجام,/nāfarjām/
شامه,/shāmih/
شامل,/shāmil/
دورسنج,/dūrsanj/
مغلغل,/muqalqal/
نافر,/nāfir/
بنوت,/bunuvvat/
عثور,/'asūr/
مناقب,/manāqib/
منافی,/munāfī/
بنوان,/bunvān/
مغلظه,/muqallazih/
پوکه,/pūkih/
تلیین,/talyīn/
تلید,/talīd/
برچیدگی,/barchīdigī/
ملعونه,/mal'ūnih/
برچیدن,/barchīdan/
ملعون,/mal'ūn/
هزج,/hazaj/
هزت,/hazzat/
نجیب الطرفین,/najībuttarafiyn/
سینه بند,/sīniband/
نجیبانه,/najībānih/
سینه,/sīnih/
سگاله,/sagālih/
سگالنده,/sigālandih/
یراع,/yarā'/
ضنت,/zi(a)nnat/
مورچه خوار,/mūrchikhār/
شهبا,/shahbā/
یراعه,/yarā'ih/
مورچه,/mūrchih/
لاننده,/lānandih/
لانولین,/lānulīn/
بئر,/bi'r/
بیژه,/bīžih/
ناراستی,/nārāstī/
ناراست,/nārāst/
طنان,/tannān/
نسود,/nasūd/
مابعدالطبیعه,/māba'duttabī'ih/
سوی,/savī[y]/
نسوان,/nisvān/
زلفین,/zulfīn/
زلفک,/zulfak/
زالوک,/zālūk/
نفت خیز,/naftkhīz/
سوهانگر,/su[w]hāngar/
سوفار,/sūfār/
یده,/yadih/
زشت کار,/zishtkār/
یدوفرم,/yudufurm/
توژ,/tūž/
زغارو,/zaqārū/
بطی,/batī'/
بطیالانتقال,/batī'ul'intiqāl/
فرمان,/farmān/
آبرودار,/'āb[i]rūdār/
فرمالیسم,/furmālīsm/
شوی,/shavī[y]/
غزا,/qazā/
تشمیم,/tashmīm/
تشن,/tashan/
الکل سنج,/'alkulsanj/
الکل,/'alkul/
حیص وبیص,/hiysubiys/
صنوج,/sunūj/
اومانیسم,/'ūmānīsm/
معصومانه,/ma'sūmānih/
صنوبری,/si(a)nu[w]barī/
حاسر,/hāsir/
کم کاری,/kamkārī/
کم کار,/kamkār/
تسویل,/tasvīl/
فوح,/fu[w]h/
مرزنگوش,/marzangūsh/
متجاوز,/muti(a)jāviz/
نورز,/nivruz/
نورس,/nu[w]ra(i)s/
همدست,/hamdast/
متخصص,/muti(a)khassis/
گلوله,/gulūlih/
همدرس,/hamdars/
جراید,/jarāyid/
افت,/'uft/
آزادزاده,/'āzādzādih/
افاویه,/'afāvīh/
اثمان,/'asmān/
شخشیده,/shakhshīdih/
آزاددرخت,/'āzāddirakht/
اثمار,/'asmār/
همزه,/hamzih/
کلب,/kalb/
دشتبان,/dashtbān/
پرآسیب,/pur[']āsīb/
پرآژنگ,/pur[']āžang/
موقع,/muvaqqa'/
کلائو,/kalā'ū/
تعمد,/ta'ammud/
موقر,/muvaqqar/
تعلیمی,/ta'līmī/
تیغال,/tīqāl/
شوی دیده,/shūydīdih/
شوینده,/shūyandih/
توازن,/tavāzun/
توازی,/tavāzī/
پیشیاره,/pīshyārih/
کود,/kūd/
پیشیار,/pīshyār/
حیطان,/hītān/
کودتا,/kūditā/
پابرجا,/pābarjā/
پابازی,/pābāzī/
گرده بان,/gu(a)rdibān/
خردادگان,/khurdādgān/
پاک بازی,/pākbāzī/
پاک باز,/pākbāz/
گرده,/gardih/
محسن,/muhsin/
طراز,/tarāz/
طرار,/tarrār/
محسنات,/muhassanāt/
عبده,/'abadih/
حلیم٢,/halīm/
سبززاغ,/sabzzāq/
سبزرنگ,/sabzrang/
سفیداب,/sifīdāb/
سفیدار,/sifīdār/
مثنا,/masnā/
شلمک,/shalmak/
تقدمه,/taqdimih/
مقود,/miqvad/
دود,/dūd/
دوخواهر,/dukhāhar/
شلم شوربا,/shalamshūrbā/
مستقبل,/mustaqbal/
فقار,/faqār/
نعاب,/nu'āb/
مکحله,/mikhalih/
مکحل,/mikhal/
رکت,/rikkat/
بشک,/bashk/
رکتوم,/riktum/
شکایت,/shikāyat/
ساخلو,/sākhlu[w]/
شکایت گستر,/shikāyatgustar/
نخوت,/na(i)khvat/
مقطع,/maqta'/
لئیم ظفر,/la'īmuzufr/
مقطر,/muqattar/
لئیم الطبع,/la'īmuttab'/
پالغ,/pāluq/
کنور,/kanūr/
پالکانه,/pāl[i]kānih/
چمانه,/chamānih/
رزم خواه,/razmkhāh/
رزم جو,/razmjū/
آستی,/'āstī/
شغف,/shaqaf/
خماندن,/khamāndan/
آستیگماتیسم,/'āstīgmātīsm/
خمان,/khamān/
شغربغر,/shaqarbaqar/
فدیات,/fidayāt/
سولفات دوکنین,/sūlfātdukunīn/
هلو,/hulū/
رنگین کمان,/rangīnkamān/
قاشق,/qāshuq/
مورفین,/murfīn/
مورمور,/mūrmūr/
جاگزین,/jāguzīn/
افاضه,/'ifāzih/
جاکسو,/jāksū/
اختبا,/'ikhtibā/
افاضل,/'afāzil/
لجستیک,/lujistīk/
لجج,/lujaj/
شاش,/shāsh/
هندوانه,/hindivānih/
شاسی,/shās[s]ī/
سرخ پوست,/surkhpūst/
هندواروپایی,/hindu'urūpāyī/
باجی,/bājī/
باجه,/bājih/
پروتکل,"/purutukul, piritikul/"
پروتوپلاسم,/pu(i)rutup[i]lāsm/
سرخ بید,/surkhbīd/
سماحت,/samāhat/
رزیه,/razīy[y]ih/
ناراحت,/nārāhat/
انبه,/'ambih/
نار,/nār/
استیم,/'astīm/
آلبالو,/'ālbālū/
استیلن,/'asitīlin/
هنگ,/hang/
جلسات,/jalasāt/
شفاف,/shaffāf/
هرین,/hurīn/
قریب الوقوع,/qarībulvuqū'/
قریح,/qarīh/
شفاعت گر,/shi(a)fa'atgar/
هریوه,/harīvih/
مزارع,/mazāri'/
مزارعه,/muzāri'ih/
توخ,/tūkh/
توحید,/tu[w]hīd/
بی حال,/bīhāl/
مصاعب,/masā'ib/
سرابیل,/sarābīl/
مصاعد,/masā'id/
مطابق,/mutābiq/
سرابستان,/sarābustān/
جگرسفید,/jigarsifīd/
مقفل,/muqaffal/
رحال,/rahhāl/
شگون,/shugūn/
مقل,/muqil[l]/
رحبه,/rah[a]bih/
جگردار,/jigardār/
شگن,/shugun/
صعوبت,/su'ūbat/
میزک,/mīzak/
صعلوک,
بورک,/būrak/
میزراه,/mīzrāh/
بورنگ,/būrang/
هندسی,/hindisī/
نخراز,/nukhrāz/
استرعا,/'istir'ā/
بدسگال,/badsigāl/
کله طاس,/kallitās/
کله شق,/kallishaq[q]/
خشنو,/khushnū/
خشنگ,/khashang/
بدسغان,/badasqān/
استرضا,/'istirzā/
طوطی,/tūtī/
نادرویش,/nādarvīsh/
خداحافظ,/khudāhāfiz/
خداترس,/khudātars/
سرافکنده,/sar[']afkandih/
بیشترین,/bīshtarīn/
امر,/'amr/
بیشترک,/bīshtarak/
مطر,/matar/
سرافکندگی,/sar[']afkandigī/
هامال,/hāmāl/
زاد,/zād/
هام,/hām/
اودا,/'aviddā/
اوحد,/'u[w]had/
چهارضلعی,/cha(ā)hārzil'ī/
زاخر,/zākhir/
زنادیق,/zanādīq/
مسح,/mash/
زنار,/zunnār/
فئه,/fi'ih/
ق,/q/
چهارضرب,/cha(ā)hārzarb/
طلب کار,/talabkār/
شرمگینی,/sharmgīnī/
شرمگین,/sharmgīn/
مسافات,/masāfāt/
مسافت,/masāfat/
نغمه سرا,/naqmisa(u)rā/
مستغنی,/mustaqnī/
سبک سار,/sabuksār/
پاسخ گزار,/pāsukhguzār/
کاسنی,/kāsnī/
پاسخ ده,/pāsukhdih/
کاسمو,/kāsmū/
خالی السیر,/khālīyussiyr/
ناپایدار,/nāpāydār/
خالی الذهن,/khālīyuzzihn/
بنی اسرائیل,/banī'isrā'īl/
نضرت,/nazrat/
مجذور,/majzūr/
مجذوب,/majzūb/
بنیادگر,/bunyādgar/
نضر,/nazr/
تقدیس,/taqdīs/
منسوج,/mansūj/
بحبوحه,/buhbū(u)hih/
بحار,/bihār/
میلیتاریسم,/mīlītārīsm/
مشک فشان,/mu(i)shkfishān/
التقا,/'iltiqā/
التفات,/'iltifāt/
بیدانگبین,/bīd[']angabīn/
زایچه,/zāychih/
شجره,/shajarih/
بخنودن,/bakhnūdan/
زایجه,/zāyjih/
بخنو,/ba(u)khnu[w]/
بلک,/balak/
سردرختی,/sardirakhtī/
چشم بندک,/chi(a)shmbandak/
سردرپیش,/sardarpīsh/
پرلاف,/purlāf/
ضدین,/ziddiyn/
چشم بند,/chi(a)shmband/
ضدیت,
پرلا,/parilā/
تجویف,/tajvīf/
ایمن,/'a(i)yman/
لیزیده,/līzīdih/
نسو,/nasū/
بیزیده,/bīzīdih/
نسنجیده,/nasanjīdih/
نثار,/nisār/
نتیجه,/natījih/
چهارپاره,/cha(ā)hārpārih/
چهارپایه,/cha(ā)hārpāyih/
نسا,/nasā/
موهوف,/mu[w]hūf/
موهوم,/mu[w]hūm/
لخت دوز,/lakhtdūz/
لخت,/lakht/
تسمی,/tasammī/
تسمیط,/tasmīt/
منتهز,/muntahiz/
طوبی,/tūbā/
متحاشی,/mutahāshī/
فتراک,/fitrāk/
خرسک,/khirsak/
فترات,/fatarāt/
خرسته,/khiristih/
فروردینگان,/farvardīngān/
منظره,/manzarih/
آردبیز,/'ārdbīz/
علنا,/'alanan/
چچله,/chachalih/
جنگلاهی,/janglāhī/
پوشیده حال,/pūshīdihāl/
پوشیده چهر,/pūshīdichihr/
بسطت,/bastat/
بسغده,/basqadih/
گوشه,/gūshih/
گوشه دار,/gūshidār/
قرائت,/qi(a)rā'at/
مسمغان,/masmuqān/
کژی,/kažī/
عالم گشا,/'ālamgushā/
مسمن,/musamman/
قرائت خانه,/qi(a)rā'atkhānih/
سنسکریت,/sansk[i]rīt/
طسق,/tasq/
بیلیون,/bīl[ī]yū[u]n/
مفرق,/mafraq/
سنقر,/sunqur/
چپ گرایی,/chapgi(a)rāy(')ī/
گستردنی,/gustardanī/
مسائل,/masā'il/
تشارین,/tashārīn/
تشارک,/tashāruk/
مهارت,/mahārat/
دادبرده,/dādburdih/
مهارشه,/muhārishih/
دادبخشی,/dādbakhshī/
اختطاف,/'ikhtitāf/
رخصت,/rukhsat/
مفرط,/mufra(i)t/
مواقیت,/mavāqīt/
ارشکین,/'arashkīn/
مفرش,/mafrash/
ارصاد,/'irsād/
کلز,/kilz/
دوتا,/dutā/
کلرید,/kulurīd/
آشوردن,/'āshūrdan/
قود,/qavad/
بنساله,/bunsālih/
بنزین,/binzīn/
تهرانی,/tihrānī/
دوتو,/dutū/
غفلتا,/qi(a)flatan/
سیستن,/sīstan/
پیچیده,/pīchīdih/
پیچیدن,/pīchīdan/
غفلت,/qi(a)flat/
رجا,/rajā/
خرس,/kharas/
جاش,/jāsh/
رجاحت,/rajāhat/
جاشدان,/jāshudan/
پولادتن,/pūlādtan/
کاربوراتور,/kārbū(u)rātur/
بایگانی,/bāy[i]gānī/
بانگ,/bāng/
پرآهو,/pur[']āhū/
نیک نام,/nīknām/
پرآوازه,/pur[']āvāzih/
بانو,/bānū/
ذوالفقار,/zulfaqār/
جادوستان,/jādūs[i]tān/
کاشه,/kāshih/
بدشگون,/badshugūn/
بدسگان,/badasgān/
کاشم,/kāshim/
خشک دست,/khushkdast/
خشک رود,/khushkrūd/
اغراق آمیز,/'iqrāq[']āmīz/
لیموترش,/līmūtursh/
شفش,/shafsh/
اغرب,/'aqrab/
قیماق,/qiymāq/
شفشاهنگ,/shafshāhang/
لیمو,/līmū/
مهاجم,/muhājim/
مهاجرت,/muhājirat/
پینه کاری,/pīnikārī/
پینه کار,/pīnikār/
قمری,/qamarī/
تلاق,/talāq/
تجافی,/tajāfī/
تجاسر,/tajāsur/
تناسق,/tanāsuq/
قرنباد,/qurumbād/
تردماغ,/tardamāq/
برآویختن,/bar[']āvīkhtan/
شهدا,/shuhadā/
برآهختن,/bar[']āhikhtan/
آینه,/'āy[i]nih/
آینده,/'āyandih/
تردستی,/tardastī/
بسا,/basā/
بدخویی,/badkhūy(')ī/
لوچ,/lūch/
بساتین,/basātīn/
زبانی,/zabānī/
هیمه دان,/hīmidān/
هیمه,/hīmih/
داربام,/dārbām/
شمر,/shamar/
لایح,/lāyih/
داربر,/dārbur/
شمد,/shamad/
ابوعطا,/'abū'atā/
تربیت,/tarbīyat/
تربیع,/tarbī'/
بخشوده,/bakhshūdih/
دژمنش,/dužmanish/
جبیره,/jabīrih/
نعم,/na'am/
روزبه,/rūzbih/
روزبهی,/rūzbihī/
توقع,/tavaqqu'/
لایحه,/lāyihih/
ساغر,/sāqar/
توقر,/tavaqqur/
ساعی,/sā'ī/
احب,/'ahab[b]/
احبا,/'ahibbā/
بلهوس,/bulhavas/
خوک,/khūk/
شنیدن,/shi(a)nīdan/
کاواک,/kāvāk/
بله بران,/baliburān/
کاو,/kāv/
تبری,/tabarī/
شنه,/shanih/
مستجاب,/mustajāb/
مستثنا,/mustasnā/
اسریشم,/'isrīsham/
سبز آب,/sabz[']āb/
سبزآخور,/sabz[']ākhur/
اسری,/'asrā/
متهاجم,/mutahājim/
متهاون,/mutahāvin/
تبرم,/tabarrum/
پالت,/pālit/
فراق,/fi(a)rāq/
کهف الفقرا,/kahfulfuqarā/
کهف,/kahf/
سکنجیدن,"/sakanjīdan, sikunjīdan/"
عارض,/'āriz/
پرتابیدن,/partābīdan/
شهریه,/shahrīy[y]ih/
خشتک,/khishtak/
حق اللـه,/haqqullāh/
خشت زن,/khishtzan/
پالتو,/pāltu/
آویژه,/'āvīžih/
شهریورگان,/shahrīvargān/
کز,/kaz/
نشل,/nashal/
پوده,/pūdih/
عار,/'ār/
کره,/karih/
فالوده,/fālūdih/
کریه المنظر,/karīhulmanzar/
حق القدم,/haqqulqadam/
گونی,/gūnī/
فالنجیقن,/fālinjīqan/
اژدهافش,/'iždi(a)hāfash/
گونه گون,/gūnigūn/
الغار,/'ilqār/
اشق,/'ushaq/
ناخواهان,/nākhāhān/
ناخواه,/nākhāh/
برگ ریزان,/bargrīzān/
برگزار,/barguzār/
گشاده رویی,/gushādirūy(')ī/
گشاده زبان,/gushādizabān/
سلس,/salas/
چهل بند,/chihilband/
بزن بکوب,/bizanbikūb/
کیش,/kīsh/
اشقاقل,/'ishqāqul/
کفر,/kufr/
زورمند,/zūrmand/
زورگو,/zūrgū/
رهاننده,/rahānandih/
وفا,/vafā/
رهانده,/rahāndih/
سرگرایی,/sargi(a)rāy(')ī/
بنه,/banih/
وفات,/vafāt/
سرگرای,/sargi(a)rāy/
پلخم,/palakham/
بنوه,/bunvih/
صف شکن,/safshikan/
ظلال,/zalāl/
گزیده,/gazīdih/
صفصف,/safsaf/
فراخ بین,/farākhbīn/
پرتاب وتوان,/purtābutavān/
طلاکار,/talākār/
عاریت,/'ārīy[y]at/
عاری,/'ārī/
گزیت,"/ga(i)zīt, ga(i)zyat/"
سیل خیز,/siylkhīz/
گزیدگی,/gazīdigī/
دیز,/dīz/
طلاق نامه,/talāqnāmih/
پشت,/pusht/
سیلانه,/sīlānih/
گزیر,/ga(i)zīr/
پشام,/pashām/
خندوتند,/khandutand/
خندنده,/khandandih/
رهایی,/rahāy(')ī/
هزال,/hazzāl/
حامی,/hāmī/
تاکسی,/tāksī/
سومو,/sūmu/
سون,/sūn/
نوازشگر,/navāzishgar/
بازه,/bāzih/
مصالحه,/musālihih/
واگن,/vāgun/
مصالح,/masālih/
کارداری,/kārdārī/
کاردان,/kārdān/
یادبود,/yādbūd/
حالی,/hālī/
یادباد,/yādbād/
واگفتن,/vāguftan/
سلعه,/sa(i)l'ih/
پردازیدن,/pardāzīdan/
ژرفاسنج,/žarfāsanj/
جامگی,/jāmigī/
زقاق,/zuqāq/
روف,/rūf/
زفیر,/zafīr/
روفتن,/rūftan/
چسبندگی,/chasbandigī/
چسبانده,/chasbāndih/
تهویه,/tahvīyih/
جه,/jah/
گرنج,/gurinj/
مهمان نوازی,/mihmānnavāzī/
تهی,/tuhī/
سریم,/sir[ī]yum/
ناجنس,/nājins/
سریغ,/sarīq/
سافل,/sāfil/
ها,/hā/
نسبی,/nasabī/
بژهان,/bižhān/
تنده,/tundih/
جان خانی,/jānkhānī/
بئس المصیر,/bi'salmasīr/
تیس,/tiys/
توسل,/tavassul/
بئس القرین,/bi'salqarīn/
بطین,/batīn/
مناقض,/munāqiz/
مناقصه,/munāqisih/
غیرهما,/qiyruhumā/
تسو,/tasū/
چغزواره,/chaqzvārih/
ضجر,/zajar/
ضجرت,/zujrat/
غیریت,/qiyrīy[y]at/
سریع الحرکه,/sarī'ulhari(a)kih/
غلمان,/qilmān/
سریع تقال,
اجتنا,/'ijtinā/
جاورس,/jāvars/
قلقلک,/qilqilak/
کلندیدن,/kalandīdan/
میکروویو,/mīkruviyv/
خانه پرورد,/khāniparvard/
مهرگان,/mihr[i]gān/
پرخور,/purkhur/
خانه پرور,/khāniparvar/
پرخوراک,/purkhurāk/
خسایس,/khasāy(')is/
ماهانه,/māhānih/
کهریز,/kahrīz/
خساست,/khi(a)sāsat/
لتره,/latrih/
بیص,/biys/
کهسار,/kuhsār/
بلاغ,/balāq/
سرمست,/sarmast/
کلاه گیس,/kulāhgīs/
کلاه گوشه,/kulāhgūshih/
بلاغت,/balāqat/
غالیه,/qālīyih/
علاوه,/'a(i)lavih/
بستانکار,/bistānkār/
بستانکاری,/bistānkārī/
علانیه,/'alānīy[y]ih/
سپیدخار,/sipīdkhār/
سپیددست,/sipīddast/
آرزومندانه,/'ārizūmandānih/
چربش,/charbish/
مکر,/makr/
آرزومند,/'ārizūmand/
چرب سخنی,/charbsukhanī/
زایل,/zāy(')il/
مکذوب,/makzūb/
خاراشتر,/khār[']ushtur/
تنگ خو,/tangkhū/
زبر,/zibr/
زبرپوش,/zi(a)barpūsh/
لابراتوار,/lābrātu(ū)vār/
دیبه,/dībah/
لابرلا,/lābarlā/
فلاح,/falāh/
بسیم,/basīm/
پینه دوز,/pīnidūz/
دیباگر,/dībāgar/
مری,/marī/
انبیس,/'ambīs/
مریخ,/mirrīkh/
التوا,/'iltivā/
اضطرام,/'iztirām/
قبایل,/qabāyil/
اکبر,/'akbar/
اضطرار,/'iztirār/
ثلمه,/sulmih/
بلغونه,/bulqūnih/
صمدیت,/samadīy[y]at/
صمدانی,/samadānī/
مرده شور,/murdishūr/
بلغور,/balqūr/
هرنج,/haranj/
محبوب,/mahbūb/
اعنی,/'a'nī/
اعواد,/'a'vād/
کوکبه,/ku[w]kabih/
زیرپیراهن,/zīrpīrāhan/
محبس,/mahbas/
عوامل,/'avāmil/
جب,/jab[b]/
عوام فریبی,/'avāmfarībī/
جاییدن,/jāyīdan/
پاشا,/pāshā/
پژاون,/pažāvan/
تپه ماهور,/tappimāhūr/
پژاگن,/pažāgin/
پاش,/pāsh/
غالیه خط,/qālīyikhat/
پپتک,/piptak/
پایین تنه,/pāy(')īntanih/
اشرف,/'ashraf/
اجحاف,/'ijhāf/
اصالت,/'i(a)sālat/
کاکاسیاه,/kākāsīyāh/
کبید,/kabīd/
وازدگی,/vāzadigī/
کپیه,/kupīyih/
شونیز,/shūnīz/
کپیدن,/kapīdan/
